"ROOM_EXTERNAL_ID","CONTACT_EXTERNAL_ID","DATE_CHECK_IN","DATE_CHECK_OUT"
"19","521","2018-01-04","2018-01-07"
"19","375","2018-01-09","2018-01-23"
"19","324","2018-01-26","2018-01-30"
"19","128","2018-01-30","2018-02-05"
"19","208","2018-02-07","2018-02-17"
"19","314","2018-02-20","2018-02-26"
"19","153","2018-02-26","2018-03-01"
"19","144","2018-03-04","2018-03-06"
"19","478","2018-03-09","2018-03-11"
"19","508","2018-03-13","2018-03-14"
"19","369","2018-03-16","2018-03-18"
"19","30","2018-03-19","2018-03-22"
"19","369","2018-03-25","2018-03-28"
"19","21","2018-03-28","2018-04-02"
"19","151","2018-04-02","2018-04-05"
"19","499","2018-04-06","2018-04-08"
"19","344","2018-04-10","2018-04-17"
"19","435","2018-04-20","2018-04-21"
"19","341","2018-04-22","2018-04-26"
"19","37","2018-04-27","2018-04-29"
"19","435","2018-04-30","2018-05-10"
"19","225","2018-05-12","2018-05-13"
"19","267","2018-05-14","2018-05-18"
"19","11","2018-05-19","2018-05-29"
"19","447","2018-05-29","2018-05-31"
"19","419","2018-06-01","2018-06-15"
"19","537","2018-06-19","2018-06-20"
"19","402","2018-06-22","2018-06-24"
"19","526","2018-06-26","2018-06-30"
"19","230","2018-07-01","2018-07-07"
"19","393","2018-07-10","2018-07-23"
"19","330","2018-07-24","2018-07-26"
"19","351","2018-07-27","2018-07-28"
"19","234","2018-07-31","2018-08-04"
"19","245","2018-08-07","2018-08-17"
"19","282","2018-08-17","2018-08-23"
"19","329","2018-08-24","2018-08-28"
"19","137","2018-08-28","2018-09-08"
"19","192","2018-09-12","2018-09-22"
"19","523","2018-09-25","2018-10-09"
"19","394","2018-10-12","2018-10-14"
"19","564","2018-10-17","2018-10-21"
"19","305","2018-10-24","2018-11-03"
"19","419","2018-11-05","2018-11-10"
"19","279","2018-11-12","2018-11-23"
"19","494","2018-11-25","2018-12-07"
"19","243","2018-12-10","2018-12-14"
"19","431","2018-12-17","2018-12-20"
"19","433","2018-12-24","2018-12-29"
"110","317","2018-01-01","2018-01-08"
"110","284","2018-01-11","2018-01-15"
"110","321","2018-01-18","2018-01-29"
"110","320","2018-01-29","2018-01-31"
"110","419","2018-02-03","2018-02-05"
"110","150","2018-02-07","2018-02-19"
"110","519","2018-02-23","2018-02-25"
"110","130","2018-02-27","2018-03-04"
"110","198","2018-03-07","2018-03-13"
"110","33","2018-03-16","2018-03-18"
"110","285","2018-03-20","2018-03-26"
"110","33","2018-03-26","2018-04-08"
"110","381","2018-04-10","2018-04-11"
"110","448","2018-04-12","2018-04-13"
"110","306","2018-04-15","2018-04-17"
"110","253","2018-04-17","2018-04-18"
"110","12","2018-04-20","2018-04-22"
"110","334","2018-04-25","2018-05-09"
"110","293","2018-05-09","2018-05-15"
"110","197","2018-05-16","2018-05-19"
"110","138","2018-05-20","2018-05-28"
"110","451","2018-05-31","2018-06-10"
"110","365","2018-06-13","2018-06-17"
"110","490","2018-06-19","2018-06-26"
"110","337","2018-06-26","2018-06-28"
"110","515","2018-06-29","2018-07-01"
"110","29","2018-07-03","2018-07-14"
"110","538","2018-07-15","2018-07-19"
"110","235","2018-07-20","2018-07-22"
"110","268","2018-07-24","2018-07-27"
"110","507","2018-07-28","2018-08-08"
"110","170","2018-08-08","2018-08-13"
"110","345","2018-08-15","2018-08-16"
"110","219","2018-08-17","2018-08-19"
"110","297","2018-08-23","2018-08-25"
"110","364","2018-08-25","2018-08-29"
"110","326","2018-08-30","2018-09-04"
"110","350","2018-09-07","2018-09-09"
"110","545","2018-09-09","2018-09-16"
"110","538","2018-09-20","2018-09-25"
"110","271","2018-09-25","2018-09-30"
"110","181","2018-10-02","2018-10-09"
"110","337","2018-10-13","2018-10-25"
"110","220","2018-10-25","2018-10-27"
"110","468","2018-10-27","2018-11-10"
"110","512","2018-11-13","2018-11-16"
"110","169","2018-11-18","2018-11-20"
"110","406","2018-11-22","2018-11-27"
"110","478","2018-11-29","2018-12-07"
"110","26","2018-12-08","2018-12-10"
"110","473","2018-12-11","2018-12-17"
"110","378","2018-12-18","2018-12-22"
"110","271","2018-12-25","2018-12-31"
"111","393","2018-01-02","2018-01-08"
"111","152","2018-01-10","2018-01-23"
"111","214","2018-01-25","2018-01-30"
"111","324","2018-02-01","2018-02-11"
"111","295","2018-02-14","2018-02-19"
"111","182","2018-02-19","2018-03-01"
"111","355","2018-03-01","2018-03-13"
"111","559","2018-03-16","2018-03-17"
"111","369","2018-03-18","2018-03-30"
"111","316","2018-04-02","2018-04-16"
"111","175","2018-04-20","2018-04-22"
"111","158","2018-04-23","2018-04-27"
"111","440","2018-04-29","2018-05-02"
"111","459","2018-05-04","2018-05-06"
"111","166","2018-05-07","2018-05-08"
"111","535","2018-05-11","2018-05-13"
"111","537","2018-05-17","2018-05-21"
"111","24","2018-05-21","2018-06-04"
"111","384","2018-06-04","2018-06-09"
"111","540","2018-06-09","2018-06-15"
"111","365","2018-06-16","2018-06-23"
"111","467","2018-06-23","2018-07-03"
"111","22","2018-07-03","2018-07-06"
"111","558","2018-07-10","2018-07-16"
"111","324","2018-07-19","2018-07-20"
"111","277","2018-07-23","2018-08-02"
"111","219","2018-08-03","2018-08-12"
"111","263","2018-08-15","2018-08-22"
"111","421","2018-08-24","2018-08-30"
"111","500","2018-08-30","2018-09-05"
"111","375","2018-09-05","2018-09-09"
"111","24","2018-09-09","2018-09-11"
"111","267","2018-09-14","2018-09-16"
"111","542","2018-09-17","2018-10-01"
"111","295","2018-10-03","2018-10-06"
"111","308","2018-10-06","2018-10-10"
"111","537","2018-10-12","2018-10-14"
"111","26","2018-10-18","2018-10-20"
"111","371","2018-10-22","2018-10-29"
"111","333","2018-10-31","2018-11-03"
"111","260","2018-11-04","2018-11-15"
"111","543","2018-11-16","2018-11-18"
"111","33","2018-11-18","2018-11-25"
"111","175","2018-11-25","2018-12-08"
"111","336","2018-12-11","2018-12-20"
"111","484","2018-12-21","2018-12-27"
