"ID","ROOM_EXTERNAL_ID","CONTACT_EXTERNAL_ID","DATE_CHECK_IN","DATE_CHECK_OUT","STATUS"
"a014E00000HyLxMQAV","19","521","2018-01-04","2018-01-07","Item Created"
"a014E00000HyLxNQAV","19","375","2018-01-09","2018-01-23","Item Created"
"a014E00000HyLxOQAV","19","324","2018-01-26","2018-01-30","Item Created"
"a014E00000HyLxPQAV","19","128","2018-01-30","2018-02-05","Item Created"
"a014E00000HyLxQQAV","19","208","2018-02-07","2018-02-17","Item Created"
"a014E00000HyLxRQAV","19","314","2018-02-20","2018-02-26","Item Created"
"a014E00000HyLxSQAV","19","153","2018-02-26","2018-03-01","Item Created"
"a014E00000HyLxTQAV","19","144","2018-03-04","2018-03-06","Item Created"
"a014E00000HyLxUQAV","19","478","2018-03-09","2018-03-11","Item Created"
"a014E00000HyLxVQAV","19","508","2018-03-13","2018-03-14","Item Created"
"a014E00000HyLxWQAV","19","369","2018-03-16","2018-03-18","Item Created"
"a014E00000HyLxXQAV","19","30","2018-03-19","2018-03-22","Item Created"
"a014E00000HyLxYQAV","19","369","2018-03-25","2018-03-28","Item Created"
"a014E00000HyLxZQAV","19","21","2018-03-28","2018-04-02","Item Created"
"a014E00000HyLxaQAF","19","151","2018-04-02","2018-04-05","Item Created"
"a014E00000HyLxbQAF","19","499","2018-04-06","2018-04-08","Item Created"
"a014E00000HyLxcQAF","19","344","2018-04-10","2018-04-17","Item Created"
"a014E00000HyLxdQAF","19","435","2018-04-20","2018-04-21","Item Created"
"a014E00000HyLxeQAF","19","341","2018-04-22","2018-04-26","Item Created"
"a014E00000HyLxfQAF","19","37","2018-04-27","2018-04-29","Item Created"
"a014E00000HyLxgQAF","19","435","2018-04-30","2018-05-10","Item Created"
"a014E00000HyLxhQAF","19","225","2018-05-12","2018-05-13","Item Created"
"a014E00000HyLxiQAF","19","267","2018-05-14","2018-05-18","Item Created"
"a014E00000HyLxjQAF","19","11","2018-05-19","2018-05-29","Item Created"
"a014E00000HyLxkQAF","19","447","2018-05-29","2018-05-31","Item Created"
"a014E00000HyLxlQAF","19","419","2018-06-01","2018-06-15","Item Created"
"a014E00000HyLxmQAF","19","537","2018-06-19","2018-06-20","Item Created"
"a014E00000HyLxnQAF","19","402","2018-06-22","2018-06-24","Item Created"
"a014E00000HyLxoQAF","19","526","2018-06-26","2018-06-30","Item Created"
"a014E00000HyLxpQAF","19","230","2018-07-01","2018-07-07","Item Created"
"a014E00000HyLxqQAF","19","393","2018-07-10","2018-07-23","Item Created"
"a014E00000HyLxrQAF","19","330","2018-07-24","2018-07-26","Item Created"
"a014E00000HyLxsQAF","19","351","2018-07-27","2018-07-28","Item Created"
"a014E00000HyLxtQAF","19","234","2018-07-31","2018-08-04","Item Created"
"a014E00000HyLxuQAF","19","245","2018-08-07","2018-08-17","Item Created"
"a014E00000HyLxvQAF","19","282","2018-08-17","2018-08-23","Item Created"
"a014E00000HyLxwQAF","19","329","2018-08-24","2018-08-28","Item Created"
"a014E00000HyLxxQAF","19","137","2018-08-28","2018-09-08","Item Created"
"a014E00000HyLxyQAF","19","192","2018-09-12","2018-09-22","Item Created"
"a014E00000HyLxzQAF","19","523","2018-09-25","2018-10-09","Item Created"
"a014E00000HyLy0QAF","19","394","2018-10-12","2018-10-14","Item Created"
"a014E00000HyLy1QAF","19","564","2018-10-17","2018-10-21","Item Created"
"a014E00000HyLy2QAF","19","305","2018-10-24","2018-11-03","Item Created"
"a014E00000HyLy3QAF","19","419","2018-11-05","2018-11-10","Item Created"
"a014E00000HyLy4QAF","19","279","2018-11-12","2018-11-23","Item Created"
"a014E00000HyLy5QAF","19","494","2018-11-25","2018-12-07","Item Created"
"a014E00000HyLy6QAF","19","243","2018-12-10","2018-12-14","Item Created"
"a014E00000HyLy7QAF","19","431","2018-12-17","2018-12-20","Item Created"
"a014E00000HyLy8QAF","19","433","2018-12-24","2018-12-29","Item Created"
"a014E00000HyLy9QAF","110","317","2018-01-01","2018-01-08","Item Created"
"a014E00000HyLyAQAV","110","284","2018-01-11","2018-01-15","Item Created"
"a014E00000HyLyBQAV","110","321","2018-01-18","2018-01-29","Item Created"
"a014E00000HyLyCQAV","110","320","2018-01-29","2018-01-31","Item Created"
"a014E00000HyLyDQAV","110","419","2018-02-03","2018-02-05","Item Created"
"a014E00000HyLyEQAV","110","150","2018-02-07","2018-02-19","Item Created"
"a014E00000HyLyFQAV","110","519","2018-02-23","2018-02-25","Item Created"
"a014E00000HyLyGQAV","110","130","2018-02-27","2018-03-04","Item Created"
"a014E00000HyLyHQAV","110","198","2018-03-07","2018-03-13","Item Created"
"a014E00000HyLyIQAV","110","33","2018-03-16","2018-03-18","Item Created"
"a014E00000HyLyJQAV","110","285","2018-03-20","2018-03-26","Item Created"
"a014E00000HyLyKQAV","110","33","2018-03-26","2018-04-08","Item Created"
"a014E00000HyLyLQAV","110","381","2018-04-10","2018-04-11","Item Created"
"a014E00000HyLyMQAV","110","448","2018-04-12","2018-04-13","Item Created"
"a014E00000HyLyNQAV","110","306","2018-04-15","2018-04-17","Item Created"
"a014E00000HyLyOQAV","110","253","2018-04-17","2018-04-18","Item Created"
"a014E00000HyLyPQAV","110","12","2018-04-20","2018-04-22","Item Created"
"a014E00000HyLyQQAV","110","334","2018-04-25","2018-05-09","Item Created"
"a014E00000HyLyRQAV","110","293","2018-05-09","2018-05-15","Item Created"
"a014E00000HyLySQAV","110","197","2018-05-16","2018-05-19","Item Created"
"a014E00000HyLyTQAV","110","138","2018-05-20","2018-05-28","Item Created"
"a014E00000HyLyUQAV","110","451","2018-05-31","2018-06-10","Item Created"
"a014E00000HyLyVQAV","110","365","2018-06-13","2018-06-17","Item Created"
"a014E00000HyLyWQAV","110","490","2018-06-19","2018-06-26","Item Created"
"a014E00000HyLyXQAV","110","337","2018-06-26","2018-06-28","Item Created"
"a014E00000HyLyYQAV","110","515","2018-06-29","2018-07-01","Item Created"
"a014E00000HyLyZQAV","110","29","2018-07-03","2018-07-14","Item Created"
"a014E00000HyLyaQAF","110","538","2018-07-15","2018-07-19","Item Created"
"a014E00000HyLybQAF","110","235","2018-07-20","2018-07-22","Item Created"
"a014E00000HyLycQAF","110","268","2018-07-24","2018-07-27","Item Created"
"a014E00000HyLydQAF","110","507","2018-07-28","2018-08-08","Item Created"
"a014E00000HyLyeQAF","110","170","2018-08-08","2018-08-13","Item Created"
"a014E00000HyLyfQAF","110","345","2018-08-15","2018-08-16","Item Created"
"a014E00000HyLygQAF","110","219","2018-08-17","2018-08-19","Item Created"
"a014E00000HyLyhQAF","110","297","2018-08-23","2018-08-25","Item Created"
"a014E00000HyLyiQAF","110","364","2018-08-25","2018-08-29","Item Created"
"a014E00000HyLyjQAF","110","326","2018-08-30","2018-09-04","Item Created"
"a014E00000HyLykQAF","110","350","2018-09-07","2018-09-09","Item Created"
"a014E00000HyLylQAF","110","545","2018-09-09","2018-09-16","Item Created"
"a014E00000HyLymQAF","110","538","2018-09-20","2018-09-25","Item Created"
"a014E00000HyLynQAF","110","271","2018-09-25","2018-09-30","Item Created"
"a014E00000HyLyoQAF","110","181","2018-10-02","2018-10-09","Item Created"
"a014E00000HyLypQAF","110","337","2018-10-13","2018-10-25","Item Created"
"a014E00000HyLyqQAF","110","220","2018-10-25","2018-10-27","Item Created"
"a014E00000HyLyrQAF","110","468","2018-10-27","2018-11-10","Item Created"
"a014E00000HyLysQAF","110","512","2018-11-13","2018-11-16","Item Created"
"a014E00000HyLytQAF","110","169","2018-11-18","2018-11-20","Item Created"
"a014E00000HyLyuQAF","110","406","2018-11-22","2018-11-27","Item Created"
"a014E00000HyLyvQAF","110","478","2018-11-29","2018-12-07","Item Created"
"a014E00000HyLywQAF","110","26","2018-12-08","2018-12-10","Item Created"
"a014E00000HyLyxQAF","110","473","2018-12-11","2018-12-17","Item Created"
"a014E00000HyLyyQAF","110","378","2018-12-18","2018-12-22","Item Created"
"a014E00000HyLyzQAF","110","271","2018-12-25","2018-12-31","Item Created"
"a014E00000HyLz0QAF","111","393","2018-01-02","2018-01-08","Item Created"
"a014E00000HyLz1QAF","111","152","2018-01-10","2018-01-23","Item Created"
"a014E00000HyLz2QAF","111","214","2018-01-25","2018-01-30","Item Created"
"a014E00000HyLz3QAF","111","324","2018-02-01","2018-02-11","Item Created"
"a014E00000HyLz4QAF","111","295","2018-02-14","2018-02-19","Item Created"
"a014E00000HyLz5QAF","111","182","2018-02-19","2018-03-01","Item Created"
"a014E00000HyLz6QAF","111","355","2018-03-01","2018-03-13","Item Created"
"a014E00000HyLz7QAF","111","559","2018-03-16","2018-03-17","Item Created"
"a014E00000HyLz8QAF","111","369","2018-03-18","2018-03-30","Item Created"
"a014E00000HyLz9QAF","111","316","2018-04-02","2018-04-16","Item Created"
"a014E00000HyLzAQAV","111","175","2018-04-20","2018-04-22","Item Created"
"a014E00000HyLzBQAV","111","158","2018-04-23","2018-04-27","Item Created"
"a014E00000HyLzCQAV","111","440","2018-04-29","2018-05-02","Item Created"
"a014E00000HyLzDQAV","111","459","2018-05-04","2018-05-06","Item Created"
"a014E00000HyLzEQAV","111","166","2018-05-07","2018-05-08","Item Created"
"a014E00000HyLzFQAV","111","535","2018-05-11","2018-05-13","Item Created"
"a014E00000HyLzGQAV","111","537","2018-05-17","2018-05-21","Item Created"
"a014E00000HyLzHQAV","111","24","2018-05-21","2018-06-04","Item Created"
"a014E00000HyLzIQAV","111","384","2018-06-04","2018-06-09","Item Created"
"a014E00000HyLzJQAV","111","540","2018-06-09","2018-06-15","Item Created"
"a014E00000HyLzKQAV","111","365","2018-06-16","2018-06-23","Item Created"
"a014E00000HyLzLQAV","111","467","2018-06-23","2018-07-03","Item Created"
"a014E00000HyLzMQAV","111","22","2018-07-03","2018-07-06","Item Created"
"a014E00000HyLzNQAV","111","558","2018-07-10","2018-07-16","Item Created"
"a014E00000HyLzOQAV","111","324","2018-07-19","2018-07-20","Item Created"
"a014E00000HyLzPQAV","111","277","2018-07-23","2018-08-02","Item Created"
"a014E00000HyLzQQAV","111","219","2018-08-03","2018-08-12","Item Created"
"a014E00000HyLzRQAV","111","263","2018-08-15","2018-08-22","Item Created"
"a014E00000HyLzSQAV","111","421","2018-08-24","2018-08-30","Item Created"
"a014E00000HyLzTQAV","111","500","2018-08-30","2018-09-05","Item Created"
"a014E00000HyLzUQAV","111","375","2018-09-05","2018-09-09","Item Created"
"a014E00000HyLzVQAV","111","24","2018-09-09","2018-09-11","Item Created"
"a014E00000HyLzWQAV","111","267","2018-09-14","2018-09-16","Item Created"
"a014E00000HyLzXQAV","111","542","2018-09-17","2018-10-01","Item Created"
"a014E00000HyLzYQAV","111","295","2018-10-03","2018-10-06","Item Created"
"a014E00000HyLzZQAV","111","308","2018-10-06","2018-10-10","Item Created"
"a014E00000HyLzaQAF","111","537","2018-10-12","2018-10-14","Item Created"
"a014E00000HyLzbQAF","111","26","2018-10-18","2018-10-20","Item Created"
"a014E00000HyLzcQAF","111","371","2018-10-22","2018-10-29","Item Created"
"a014E00000HyLzdQAF","111","333","2018-10-31","2018-11-03","Item Created"
"a014E00000HyLzeQAF","111","260","2018-11-04","2018-11-15","Item Created"
"a014E00000HyLzfQAF","111","543","2018-11-16","2018-11-18","Item Created"
"a014E00000HyLzgQAF","111","33","2018-11-18","2018-11-25","Item Created"
"a014E00000HyLzhQAF","111","175","2018-11-25","2018-12-08","Item Created"
"a014E00000HyLziQAF","111","336","2018-12-11","2018-12-20","Item Created"
"a014E00000HyLzjQAF","111","484","2018-12-21","2018-12-27","Item Created"
"a014E00000HyLzkQAF","111","181","2018-12-27","2018-12-29","Item Created"
"a014E00000HyLzlQAF","112","311","2018-01-04","2018-01-09","Item Created"
"a014E00000HyLzmQAF","112","40","2018-01-12","2018-01-26","Item Created"
"a014E00000HyLznQAF","112","157","2018-01-29","2018-02-10","Item Created"
"a014E00000HyLzoQAF","112","386","2018-02-12","2018-02-24","Item Created"
"a014E00000HyLzpQAF","112","236","2018-02-25","2018-02-26","Item Created"
"a014E00000HyLzqQAF","112","13","2018-02-26","2018-03-03","Item Created"
"a014E00000HyLzrQAF","112","340","2018-03-04","2018-03-06","Item Created"
"a014E00000HyLzsQAF","112","246","2018-03-09","2018-03-10","Item Created"
"a014E00000HyLztQAF","112","151","2018-03-10","2018-03-16","Item Created"
"a014E00000HyLzuQAF","112","176","2018-03-17","2018-03-18","Item Created"
"a014E00000HyLzvQAF","112","468","2018-03-22","2018-03-27","Item Created"
"a014E00000HyLzwQAF","112","479","2018-03-30","2018-04-04","Item Created"
"a014E00000HyLzxQAF","112","399","2018-04-06","2018-04-08","Item Created"
"a014E00000HyLzyQAF","112","478","2018-04-11","2018-04-12","Item Created"
"a014E00000HyLzzQAF","112","300","2018-04-12","2018-04-25","Item Created"
"a014E00000HyM00QAF","112","548","2018-04-27","2018-05-06","Item Created"
"a014E00000HyM01QAF","112","277","2018-05-06","2018-05-08","Item Created"
"a014E00000HyM02QAF","112","529","2018-05-08","2018-05-11","Item Created"
"a014E00000HyM03QAF","112","230","2018-05-14","2018-05-19","Item Created"
"a014E00000HyM04QAF","112","138","2018-05-19","2018-05-24","Item Created"
"a014E00000HyM05QAF","112","295","2018-05-25","2018-05-27","Item Created"
"a014E00000HyM06QAF","112","336","2018-05-27","2018-05-29","Item Created"
"a014E00000HyM07QAF","112","432","2018-05-30","2018-06-02","Item Created"
"a014E00000HyM08QAF","112","178","2018-06-04","2018-06-18","Item Created"
"a014E00000HyM09QAF","112","173","2018-06-21","2018-06-23","Item Created"
"a014E00000HyM0AQAV","112","478","2018-06-24","2018-07-05","Item Created"
"a014E00000HyM0BQAV","112","285","2018-07-08","2018-07-15","Item Created"
"a014E00000HyM0CQAV","112","4","2018-07-16","2018-07-19","Item Created"
"a014E00000HyM0DQAV","112","240","2018-07-20","2018-07-22","Item Created"
"a014E00000HyM0EQAV","112","467","2018-07-22","2018-07-31","Item Created"
"a014E00000HyM0FQAV","112","275","2018-08-02","2018-08-07","Item Created"
"a014E00000HyM0GQAV","112","390","2018-08-08","2018-08-15","Item Created"
"a014E00000HyM0HQAV","112","496","2018-08-15","2018-08-26","Item Created"
"a014E00000HyM0IQAV","112","162","2018-08-27","2018-09-08","Item Created"
"a014E00000HyM0JQAV","112","383","2018-09-08","2018-09-14","Item Created"
"a014E00000HyM0KQAV","112","399","2018-09-16","2018-09-22","Item Created"
"a014E00000HyM0LQAV","112","11","2018-09-22","2018-09-30","Item Created"
"a014E00000HyM0MQAV","112","43","2018-09-30","2018-10-02","Item Created"
"a014E00000HyM0NQAV","112","412","2018-10-04","2018-10-07","Item Created"
"a014E00000HyM0OQAV","112","302","2018-10-08","2018-10-20","Item Created"
"a014E00000HyM0PQAV","112","270","2018-10-21","2018-10-28","Item Created"
"a014E00000HyM0QQAV","112","339","2018-10-29","2018-11-04","Item Created"
"a014E00000HyM0RQAV","112","444","2018-11-04","2018-11-05","Item Created"
"a014E00000HyM0SQAV","112","462","2018-11-06","2018-11-08","Item Created"
"a014E00000HyM0TQAV","112","324","2018-11-09","2018-11-11","Item Created"
"a014E00000HyM0UQAV","112","496","2018-11-12","2018-11-25","Item Created"
"a014E00000HyM0VQAV","112","513","2018-11-27","2018-12-07","Item Created"
"a014E00000HyM0WQAV","112","528","2018-12-11","2018-12-23","Item Created"
"a014E00000HyM0XQAV","112","171","2018-12-23","2018-12-28","Item Created"
"a014E00000HyM0YQAV","112","471","2018-12-28","2019-01-08","Item Created"
"a014E00000HyM0ZQAV","113","403","2018-01-02","2018-01-03","Item Created"
"a014E00000HyM0aQAF","113","254","2018-01-03","2018-01-04","Item Created"
"a014E00000HyM0bQAF","113","420","2018-01-06","2018-01-09","Item Created"
"a014E00000HyM0cQAF","113","39","2018-01-11","2018-01-12","Item Created"
"a014E00000HyM0dQAF","113","336","2018-01-13","2018-01-16","Item Created"
"a014E00000HyM0eQAF","113","300","2018-01-20","2018-01-21","Item Created"
"a014E00000HyM0fQAF","113","468","2018-01-23","2018-01-31","Item Created"
"a014E00000HyM0gQAF","113","520","2018-02-02","2018-02-16","Item Created"
"a014E00000HyM0hQAF","113","534","2018-02-16","2018-02-18","Item Created"
"a014E00000HyM0iQAF","113","336","2018-02-20","2018-02-26","Item Created"
"a014E00000HyM0jQAF","113","219","2018-03-01","2018-03-07","Item Created"
"a014E00000HyM0kQAF","113","469","2018-03-08","2018-03-18","Item Created"
"a014E00000HyM0lQAF","113","189","2018-03-19","2018-03-26","Item Created"
"a014E00000HyM0mQAF","113","15","2018-03-26","2018-03-30","Item Created"
"a014E00000HyM0nQAF","113","493","2018-03-31","2018-04-01","Item Created"
"a014E00000HyM0oQAF","113","486","2018-04-03","2018-04-04","Item Created"
"a014E00000HyM0pQAF","113","375","2018-04-04","2018-04-08","Item Created"
"a014E00000HyM0qQAF","113","379","2018-04-09","2018-04-22","Item Created"
"a014E00000HyM0rQAF","113","353","2018-04-22","2018-04-23","Item Created"
"a014E00000HyM0sQAF","113","232","2018-04-24","2018-04-26","Item Created"
"a014E00000HyM0tQAF","113","314","2018-04-26","2018-04-29","Item Created"
"a014E00000HyM0uQAF","113","509","2018-04-30","2018-05-05","Item Created"
"a014E00000HyM0vQAF","113","146","2018-05-06","2018-05-07","Item Created"
"a014E00000HyM0wQAF","113","386","2018-05-10","2018-05-13","Item Created"
"a014E00000HyM0xQAF","113","447","2018-05-15","2018-05-18","Item Created"
"a014E00000HyM0yQAF","113","358","2018-05-19","2018-05-21","Item Created"
"a014E00000HyM0zQAF","113","262","2018-05-21","2018-05-24","Item Created"
"a014E00000HyM10QAF","113","290","2018-05-26","2018-05-29","Item Created"
"a014E00000HyM11QAF","113","360","2018-06-01","2018-06-10","Item Created"
"a014E00000HyM12QAF","113","168","2018-06-13","2018-06-23","Item Created"
"a014E00000HyM13QAF","113","211","2018-06-23","2018-06-29","Item Created"
